Name,Image URL,Price,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
Intel Core i7-6700K,//cdna.pcpartpicker.com/static/forever/images/product/ff61219ad339e92074ca68490a540ae4.256p.jpg,,Intel,CM8066201919901,Intel Core i7,Skylake,Skylake-S,LGA1151,4,4 GHz,4.2 GHz,,,1 MB,8 MB,91 W,Intel HD Graphics 530,64 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Xeon E5-2697 V4,https://images-eu.ssl-images-amazon.com/images/I/31SVbQOC4mL.jpg,,Intel,BX80660E52697V4,Intel Xeon E5,Broadwell,Broadwell-EP,LGA2011-3,18,2.3 GHz,3.6 GHz,,,4.5 MB,45 MB,145 W,None,1536 GB,Yes,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i5-13600,/static/forever/img/no-image.png,,Intel,BX8071513600,Intel Core i5,Raptor Lake,Raptor Lake,LGA1700,14,2.7 GHz,5 GHz,2 GHz,3.7 GHz,11.5 MB,24 MB,65 W,Intel UHD Graphics 770,192 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Core i7-7820X,//cdna.pcpartpicker.com/static/forever/images/product/d89b878886f1e1afa45aa618a95f4136.256p.jpg,,Intel,BX80673I77820X,Intel Core i7,Skylake,Skylake-X,LGA2066,8,3.6 GHz,4.5 GHz,,,8 MB,11 MB,140 W,None,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i9-10920X,//cdna.pcpartpicker.com/static/forever/images/product/f289869a9c93444d38bf7d98fcbe2407.256p.jpg,$799.00 ,Intel,BX8069510920X,Intel Core i9,Cascade Lake,Cascade Lake-X,LGA2066,12,3.5 GHz,4.8 GHz,,,12 MB,19.25 MB,165 W,None,256 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i3-2120,https://images-na.ssl-images-amazon.com/images/I/51wyvjuFqVL.jpg,,Intel,BX80623I32120,Intel Core i3,Sandy Bridge,Sandy Bridge,LGA1155,2,3.3 GHz,,,,0.5 MB,3 MB,65 W,Intel HD Graphics 2000,,No,Yes,Boxed,32 nm,Yes,Yes: Hyper-Threading
Intel Core i5-9400,//cdna.pcpartpicker.com/static/forever/images/product/ecfb3f0796c1b19602849d9e4e622552.256p.jpg,$110.00 ,Intel,CM8068403358816,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,6,2.9 GHz,4.1 GHz,,,1.5 MB,9 MB,65 W,Intel UHD Graphics 630,128 GB,No,No,OEM/Tray,14 nm,No,No
Intel Core i3-4160,//cdna.pcpartpicker.com/static/forever/images/product/b86fb1715f889d15c0a8f54f27cb9ecf.256p.jpg,,Intel,BX80646I34160,Intel Core i3,Haswell Refresh,Haswell Refresh,LGA1150,2,3.6 GHz,,,,0.5 MB,3 MB,54 W,Intel HD Graphics 4400,,Yes,Yes,Boxed,22 nm,Yes,Yes: Hyper-Threading
Intel Core i7-6950X,https://m.media-amazon.com/images/I/41RbzAmPg7L.jpg,$506.35 ,Intel,BX80671I76950X,Intel Core i7 Extreme,Broadwell,Broadwell-E,LGA2011-3,10,3 GHz,3.5 GHz,,,2.5 MB,25 MB,140 W,None,,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i9-9980XE,//cdna.pcpartpicker.com/static/forever/images/product/bb03a268a7ec584613a8b46a1926a0b7.256p.jpg,"$1,498.95 ",Intel,CD8067304126600,Intel Core i9,Skylake,Skylake-X,LGA2066,18,3 GHz,4.4 GHz,,,18 MB,24.75 MB,165 W,None,128 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Xeon E5-2630 V3,//cdna.pcpartpicker.com/static/forever/images/product/054650de7676839361cb9121e8c87189.med.256p.jpg,$169.95 ,Intel,CM8064401831000,Intel Xeon E5,Haswell,Haswell-EP,LGA2011-3,8,2.4 GHz,3.2 GHz,,,2 MB,20 MB,85 W,None,,Yes,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
Intel Core i5-7400T,//cdna.pcpartpicker.com/static/forever/images/product/af30c4076a25b69d6f721172010cc0ec.256p.jpg,,Intel,BX80677I57400T,Intel Core i5,Kaby Lake,Kaby Lake-S,LGA1151,4,2.4 GHz,3 GHz,,,1 MB,6 MB,35 W,Intel HD Graphics 630,64 GB,No,Yes,Boxed,14 nm,Yes,No
Intel Pentium G2020,https://m.media-amazon.com/images/I/51jo+Dy-8WL.jpg,$34.99 ,Intel,BX80637G2020,Intel Pentium,Ivy Bridge,Ivy Bridge,LGA1155,2,2.9 GHz,,,,0.5 MB,3 MB,55 W,Intel HD Graphics,,No,Yes,Boxed,22 nm,Yes,No
Intel Core i7-5960X,//cdna.pcpartpicker.com/static/forever/images/product/cba263028a1b6a8e4f8960837de3c83a.256p.jpg,,Intel,BX80648I75960X,Intel Core i7 Extreme,Haswell,Haswell-E,LGA2011-3,8,3 GHz,3.5 GHz,,,2 MB,20 MB,140 W,None,64 GB,No,No,Boxed,22 nm,No,Yes: Hyper-Threading
Intel Core i5-3470S,/static/forever/img/no-image.png,$50.00 ,Intel,BX80637I53470S,Intel Core i5,Ivy Bridge,Ivy Bridge,LGA1155,4,2.9 GHz,,,,1 MB,6 MB,65 W,Intel HD Graphics 2500,,No,Yes,Boxed,22 nm,Yes,No
Intel Core i5-9600K,//cdna.pcpartpicker.com/static/forever/images/product/098696533a70605843046dace582cd85.256p.jpg,,Intel,CM8068403874404,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,6,3.7 GHz,4.6 GHz,,,1.5 MB,9 MB,95 W,Intel UHD Graphics 630,128 GB,No,No,OEM/Tray,14 nm,No,No
AMD FX-6350,https://m.media-amazon.com/images/I/31AmQD+WfrL.jpg,$100.00 ,AMD,FD6350FRHKBOX,AMD FX,Piledriver,Vishera,AM3+,6,3.9 GHz,,,,6 MB,8 MB,125 W,None,,No,Yes,Boxed,32 nm,Yes,No
Intel Core i5-3450,https://m.media-amazon.com/images/I/51wwy3uSBOL.jpg,,Intel,"BX80637I53450, BX806237I53450",Intel Core i5,Ivy Bridge,Ivy Bridge,LGA1155,4,3.1 GHz,,,,1 MB,6 MB,77 W,Intel HD Graphics 2500,,No,Yes,Boxed,22 nm,Yes,No
Intel Xeon E5-2699 V3,/static/forever/img/no-image.png,,Intel,CM8064401739300,Intel Xeon E5,Haswell,Haswell-EP,LGA2011-3,18,2.3 GHz,3.6 GHz,,,4.5 MB,45 MB,145 W,None,,Yes,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
Intel Core i7-13700T,//cdna.pcpartpicker.com/static/forever/images/product/1e486767a2ba0bdf2727648eee3aed63.256p.jpg,,Intel,CM8071504820903,Intel Core i7,Raptor Lake,Raptor Lake,LGA1700,16,1.4 GHz,4.9 GHz,1 GHz,3.6 GHz,24 MB,30 MB,35 W,None,192 GB,Yes,No,OEM/Tray,10 nm,No,Yes: Hyper-Threading
Intel Pentium Gold G5400,https://m.media-amazon.com/images/I/51CNDDg0VaL.jpg,$72.95 ,Intel,CM8068403360112,Intel Pentium Gold,Coffee Lake,Coffee Lake,LGA1151,2,3.7 GHz,,,,0.5 MB,4 MB,58 W,Intel UHD Graphics 610,64 GB,Yes,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Core i7-3930K,https://m.media-amazon.com/images/I/517LUhhYF3L.jpg,$298.98 ,Intel,BX80619i73930K,Intel Core i7,Sandy Bridge,Sandy Bridge-E,LGA2011,6,3.2 GHz,,,,1.5 MB,12 MB,130 W,None,,No,No,Boxed,32 nm,No,Yes: Hyper-Threading
Intel Core i7-980X Extreme Edition,https://m.media-amazon.com/images/I/41qwhwA28oL.jpg,$153.64 ,Intel,BX80613I7980X,Intel Core i7 Extreme,Westmere,Gulftown,LGA1366,6,3.33 GHz,,,,1.5 MB,12 MB,130 W,None,,No,Yes,Boxed,32 nm,Yes,Yes: Hyper-Threading
Intel Core i5-10600,//cdna.pcpartpicker.com/static/forever/images/product/22517c4002202647d4d1906d37e43b48.256p.jpg,$349.95 ,Intel,BX8070110600,Intel Core i5,Comet Lake,Comet Lake,LGA1200,6,3.3 GHz,4.8 GHz,,,1.5 MB,12 MB,65 W,Intel UHD Graphics 630,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Xeon E5-1650 V3,https://m.media-amazon.com/images/I/51rLr1NagHL.jpg,$54.46 ,Intel,BX80644E51650V3,Intel Xeon E5,Haswell,Haswell-EP,LGA2011-3,6,3.5 GHz,3.8 GHz,,,1.5 MB,15 MB,140 W,None,,Yes,No,Boxed,22 nm,No,Yes: Hyper-Threading
Intel Xeon E5-2697 V2,//cdna.pcpartpicker.com/static/forever/images/product/e26bc40699d464c3ba4d51efadbea29b.256p.jpg,,Intel,BX80635E52697V2,Intel Xeon E5,Ivy Bridge,Ivy Bridge-EP,LGA2011,12,2.7 GHz,3.5 GHz,,,3 MB,30 MB,130 W,None,,Yes,No,Boxed,22 nm,No,Yes: Hyper-Threading
Intel Xeon E5-2690 V4,//cdna.pcpartpicker.com/static/forever/images/product/acbbf09e0391f7599810e37d7ed1f9de.256p.jpg,"$1,025.58 ",Intel,BX80660E52690V4,Intel Xeon E5,Broadwell,Broadwell-EP,LGA2011-3,14,2.6 GHz,3.5 GHz,,,3.5 MB,35 MB,135 W,None,1536 GB,Yes,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Xeon E5-2687W V4,//cdna.pcpartpicker.com/static/forever/images/product/acbbf09e0391f7599810e37d7ed1f9de.256p.jpg,"$1,900.16 ",Intel,BX80660E52687V4,Intel Xeon E5,Broadwell,Broadwell-EP,LGA2011-3,12,3 GHz,3.5 GHz,,,3 MB,30 MB,160 W,None,1536 GB,Yes,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i5-3330,https://m.media-amazon.com/images/I/51A5dehZLVL.jpg,,Intel,BX80637i53330,Intel Core i5,Ivy Bridge,Ivy Bridge,LGA1155,4,3 GHz,,,,1 MB,6 MB,77 W,Intel HD Graphics 2500,,No,Yes,Boxed,22 nm,Yes,No
Intel Core 2 Quad Q9550,https://m.media-amazon.com/images/I/416NByfLnVL.jpg,$52.55 ,Intel,EU80569PJ073N,Intel Core 2 Quad,Yorkfield,Yorkfield,LGA775,4,2.83 GHz,,,,12 MB,0 MB,95 W,None,,No,No,OEM/Tray,45 nm,No,No
AMD Ryzen 9 3900,/static/forever/img/no-image.png,,AMD,100-000000070,AMD Ryzen 9,Zen 2,Matisse,AM4,12,3.1 GHz,,,,6 MB,64 MB,65 W,None,128 GB,No,No,OEM/Tray,7 nm,No,Yes
AMD A6-9500,//cdna.pcpartpicker.com/static/forever/images/product/dff68b0a86d4d27b43b39812d448529c.256p.jpg,$76.97 ,AMD,AD9500AGABBOX,AMD A6,Excavator,Bristol Ridge,AM4,2,3.5 GHz,3.8 GHz,,,1 MB,0 MB,65 W,Radeon R5 (on die),,No,Yes,Boxed,28 nm,Yes,No
Intel Core i7-9700,//cdna.pcpartpicker.com/static/forever/images/product/b386a89e62203f2d066ffffe5821300e.256p.jpg,$299.80 ,Intel,CM8068403874521,Intel Core i7,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,8,3 GHz,4.7 GHz,,,2 MB,12 MB,65 W,Intel HD Graphics 630,128 GB,No,No,OEM/Tray,14 nm,No,No
AMD A8-7600,https://m.media-amazon.com/images/I/51uLJsUoAgL.jpg,,AMD,AD7600YBJABOX,AMD A8,Steamroller,Kaveri,FM2+,4,3.1 GHz,3.8 GHz,,,4 MB,0 MB,65 W,Radeon R7 (on-die),,No,Yes,Boxed,28 nm,Yes,No
AMD Ryzen 7 1700X,https://m.media-amazon.com/images/I/41JKeOBa+zL.jpg,,AMD,YD170XBCAEMPK,AMD Ryzen 7,Zen,Summit Ridge,AM4,8,3.4 GHz,3.8 GHz,,,4 MB,16 MB,95 W,None,,No,Yes,Boxed,14 nm,Yes,Yes
Intel Core i3-7100T,//cdna.pcpartpicker.com/static/forever/images/product/6575bf30b14742cef9e7ddae7fb2ce7f.256p.jpg,$41.13 ,Intel,BX80677I37100T,Intel Core i3,Kaby Lake,Kaby Lake-S,LGA1151,2,3.4 GHz,,,,0.5 MB,3 MB,35 W,Intel HD Graphics 630,64 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core i7-870,https://m.media-amazon.com/images/I/51KB-7M4YTL.jpg,$100.00 ,Intel,BX80605I7870,Intel Core i7,Nehalem,Lynnfield,LGA1156,4,2.93 GHz,,,,1 MB,8 MB,95 W,None,,No,Yes,Boxed,45 nm,Yes,Yes: Hyper-Threading
AMD FX-6120,https://images-na.ssl-images-amazon.com/images/I/21u0NtGY0GL.jpg,$58.53 ,AMD,FD6120WMW6KGU,AMD FX,Bulldozer,Zambezi,AM3+,6,3.5 GHz,4.1 GHz,,,6 MB,8 MB,95 W,None,,No,No,OEM/Tray,32 nm,No,No
Intel Core i5-3350P,https://m.media-amazon.com/images/I/51ywEF+YaiL.jpg,,Intel,BX80637i53350P,Intel Core i5,Ivy Bridge,Ivy Bridge,LGA1155,4,3.1 GHz,,,,1 MB,6 MB,69 W,None,,No,Yes,Boxed,22 nm,Yes,No
AMD A8-7680,//cdna.pcpartpicker.com/static/forever/images/product/6b7886562440b9a107f6c1b68f47d41b.256p.jpg,,AMD,AD7680ACABBOX,AMD A8,Puma+,Carrizo,FM2+,4,3.5 GHz,3.8 GHz,,,2 MB,0 MB,65 W,Radeon R7 (on-die),,No,Yes,Boxed,28 nm,Yes,No
Intel Core i7-920,https://images-na.ssl-images-amazon.com/images/I/51caAnBbK%2BL.jpg,$90.00 ,Intel,BX80601920,Intel Core i7,Nehalem,Bloomfield,LGA1366,4,2.66 GHz,,,,1 MB,8 MB,130 W,None,,No,Yes,Boxed,45 nm,Yes,Yes: Hyper-Threading
AMD FX-4300,https://m.media-amazon.com/images/I/51sxSgLD+aL.jpg,,AMD,FD4300WMHKBOX,AMD FX,Piledriver,Vishera,AM3+,4,3.8 GHz,,,,4 MB,4 MB,95 W,None,,No,Yes,Boxed,32 nm,Yes,No
Intel Core i9-7920X,//cdna.pcpartpicker.com/static/forever/images/product/b4777c982f9e93e78c9726b88618ad3a.256p.jpg,$556.54 ,Intel,BX80673I97920X,Intel Core i9,Skylake,Skylake-X,LGA2066,12,2.9 GHz,4.4 GHz,,,12 MB,16.5 MB,140 W,None,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i7-9800X,//cdna.pcpartpicker.com/static/forever/images/product/a773894fac49c9de7556159e453d4a37.256p.jpg,,Intel,BX80673I79800X,Intel Core i7,Skylake,Skylake-X,LGA2066,8,3.8 GHz,4.5 GHz,,,8 MB,16.5 MB,165 W,None,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
AMD FX-6100,https://m.media-amazon.com/images/I/517P-S0mDvL.jpg,$72.80 ,AMD,FD6100WMGUSBX,AMD FX,Bulldozer,Zambezi,AM3+,6,3.3 GHz,,,,6 MB,6 MB,95 W,None,,No,Yes,OEM/Tray,32 nm,Yes,No
Intel Core 2 Duo E8500,https://images-na.ssl-images-amazon.com/images/I/51Xpb79g9gL.jpg,,Intel,EU80570PJ0876M,Intel Core 2 Duo,Wolfdale,Wolfdale,LGA775,2,3.16 GHz,,,,6 MB,0 MB,65 W,None,,No,No,OEM/Tray,45 nm,No,No
Intel Core i7-3820,https://m.media-amazon.com/images/I/51v2JNU0WaL.jpg,,Intel,BX80619I73820,Intel Core i7,Sandy Bridge,Sandy Bridge-E,LGA2011,4,3.6 GHz,,,,1 MB,10 MB,130 W,None,,No,No,Boxed,32 nm,No,Yes: Hyper-Threading
AMD A10-7850K,https://m.media-amazon.com/images/I/516R3+3oLnL.jpg,$139.84 ,AMD,AD785KXBJABOX,AMD A10,Steamroller,Kaveri,FM2+,4,3.7 GHz,4 GHz,,,4 MB,0 MB,95 W,Radeon R7 (on-die),,No,Yes,Boxed,28 nm,Yes,No
Intel Xeon E5-2695 V2,https://m.media-amazon.com/images/I/51hnj4ThEPL.jpg,$189.00 ,Intel,BX80635E52695V2,Intel Xeon E5,Ivy Bridge,Ivy Bridge-EP,LGA2011,12,2.4 GHz,3.2 GHz,,,3 MB,30 MB,115 W,None,,Yes,No,Boxed,22 nm,No,Yes: Hyper-Threading
Intel Core i7-4960X Extreme Edition,//cdna.pcpartpicker.com/static/forever/images/product/a1466e1823404679892cb38473e6c5fd.256p.jpg,$775.04 ,Intel,BX80633I74960X,Intel Core i7 Extreme,Ivy Bridge,Ivy Bridge-E,LGA2011,6,3.6 GHz,4 GHz,,,1.5 MB,15 MB,130 W,None,,No,No,Boxed,22 nm,No,Yes: Hyper-Threading
Intel Core i5-750,//cdna.pcpartpicker.com/static/forever/images/product/81283e72ef71a981049b8a1b7dc9c50e.256p.jpg,$72.00 ,Intel,BX80605I5750,Intel Core i5,Nehalem,Lynnfield,LGA1156,4,2.66 GHz,,,,1 MB,8 MB,95 W,None,,No,Yes,Boxed,45 nm,Yes,No
Intel Core i3-3240,https://m.media-amazon.com/images/I/517OFYjzFkL.jpg,$106.51 ,Intel,BX80637i33240,Intel Core i3,Ivy Bridge,Ivy Bridge,LGA1155,2,3.4 GHz,,,,0.5 MB,3 MB,55 W,Intel HD Graphics 2500,,No,Yes,Boxed,22 nm,Yes,Yes: Hyper-Threading
AMD FX-4350,//cdna.pcpartpicker.com/static/forever/images/product/47df61e58e95efb22c12e87a7ed34236.med.256p.jpg,$122.96 ,AMD,FD4350FRHKBOX,AMD FX,Piledriver,Vishera,AM3+,4,4.2 GHz,,,,4 MB,8 MB,125 W,None,,No,Yes,Boxed,32 nm,Yes,No
Intel Xeon E5-2660,https://images-na.ssl-images-amazon.com/images/I/51j%2BGeVD5YL.jpg,,Intel,BX80621E52660,Intel Xeon E5,Sandy Bridge,Sandy Bridge-EP,LGA2011,8,2.2 GHz,3 GHz,,,2 MB,20 MB,95 W,None,,Yes,No,Boxed,32 nm,No,Yes: Hyper-Threading
Intel Xeon E5-2630 V4,//cdna.pcpartpicker.com/static/forever/images/product/fe223eeb7f193ce69814603b89175472.256p.jpg,$335.07 ,Intel,BX80660E52630V4,Intel Xeon E5,Broadwell,Broadwell-EP,LGA2011-3,10,2.2 GHz,3.1 GHz,,,2.5 MB,25 MB,85 W,None,1536 GB,Yes,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i7-7800X,//cdna.pcpartpicker.com/static/forever/images/product/691467fd1a461dd708186f4dc35d71c5.256p.jpg,$289.95 ,Intel,CD8067303287002,Intel Core i7,Skylake,Skylake-X,LGA2066,6,3.5 GHz,4 GHz,,,6 MB,8.25 MB,140 W,None,128 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Pentium E2220,https://images-na.ssl-images-amazon.com/images/I/51jpGWUTAKL.jpg,$19.98 ,Intel,BX80557E2220,Intel Pentium,Core,Allendale,LGA775,2,2.4 GHz,,,,1 MB,0 MB,65 W,None,,No,Yes,Boxed,65 nm,Yes,No
Intel Xeon E5-2650 V2,//cdna.pcpartpicker.com/static/forever/images/product/3566a2b4f938d244ff5555cc5ad8fd52.256p.jpg,$185.00 ,Intel,BX80635E52650V2,Intel Xeon E5,Ivy Bridge,Ivy Bridge-EP,LGA2011,8,2.6 GHz,3.4 GHz,,,2 MB,20 MB,95 W,None,,Yes,No,Boxed,22 nm,No,Yes: Hyper-Threading
Intel Core i5-4430,//cdna.pcpartpicker.com/static/forever/images/product/b168a00cadc83cafea72c7f5ab676985.256p.jpg,,Intel,BX80646I54430,Intel Core i5,Haswell,Haswell,LGA1150,4,3 GHz,,,,1 MB,6 MB,84 W,Intel HD Graphics 4600,,No,Yes,Boxed,22 nm,Yes,No
Intel Core i3-7320,https://m.media-amazon.com/images/I/51NQB9peGbL.jpg,$51.10 ,Intel,BX80677I37320,Intel Core i3,Kaby Lake,Kaby Lake-S,LGA1151,2,4.1 GHz,,,,0.5 MB,4 MB,51 W,Intel HD Graphics 630,64 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core 2 Quad Q9300,//cdna.pcpartpicker.com/static/forever/images/product/74d128654a0f8f6aa738094c2911bfe9.256p.jpg,$42.60 ,Intel,EU80580PJ0606M,Intel Core 2 Quad,Yorkfield,Yorkfield,LGA775,4,2.5 GHz,,,,6 MB,0 MB,95 W,None,,No,No,OEM/Tray,45 nm,No,No
AMD Ryzen 5 2400G,//cdna.pcpartpicker.com/static/forever/images/product/f7db92c656335d75ea27d1c702a9de97.256p.jpg,,AMD,YD2400C5M4MFB,AMD Ryzen 5,Zen,Raven Ridge,AM4,4,3.6 GHz,3.9 GHz,,,2 MB,4 MB,65 W,Radeon Vega 11,,No,No,OEM/Tray,14 nm,No,Yes
AMD Athlon II X4 640,//cdna.pcpartpicker.com/static/forever/images/product/fed605487451ec984fce040e4cca5b06.med.256p.jpg,$57.01 ,AMD,ADX640WFK42GM,AMD Athlon II X4,K10,Propus,AM3,4,3 GHz,,,,2 MB,0 MB,95 W,None,,No,No,OEM/Tray,45 nm,No,No
Intel Core i7-8700T,https://m.media-amazon.com/images/I/419bs0UMD0L.jpg,$304.38 ,Intel,CM8068403358413,Intel Core i7,Coffee Lake,Coffee Lake,LGA1151,6,2.4 GHz,4 GHz,,,1.5 MB,12 MB,35 W,Intel UHD Graphics 630,128 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Core i5-6402P,https://images-na.ssl-images-amazon.com/images/I/41PduZ74l4L.jpg,$80.00 ,Intel,BX80662I56402P,Intel Core i5,Skylake,Skylake-S,LGA1151,4,2.8 GHz,3.4 GHz,,,1 MB,6 MB,65 W,Intel HD Graphics 510,64 GB,No,Yes,Boxed,14 nm,Yes,No
Intel Core i5-9600,https://m.media-amazon.com/images/I/416kzzc2KiL.jpg,$195.00 ,Intel,BX80684I59600,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,6,3.1 GHz,4.6 GHz,,,1.5 MB,9 MB,65 W,Intel UHD Graphics 630,128 GB,No,Yes,Boxed,14 nm,Yes,No
Intel Xeon E5-2670 V3,https://m.media-amazon.com/images/I/51qdcCV4kKL.jpg,,Intel,BX80644E52670V3,Intel Xeon E5,Haswell,Haswell-EP,LGA2011-3,12,2.3 GHz,3.1 GHz,,,3 MB,30 MB,120 W,None,,Yes,No,Boxed,22 nm,No,Yes: Hyper-Threading
Intel Celeron G4920,//cdna.pcpartpicker.com/static/forever/images/product/f5a45cd5b3a3c4364da8141e7ba9dec4.256p.jpg,$50.27 ,Intel,BX80684G4920,Intel Celeron,Coffee Lake,Coffee Lake,LGA1151,2,3.2 GHz,,,,0.5 MB,2 MB,65 W,Intel UHD Graphics 610,64 GB,Yes,Yes,Boxed,14 nm,Yes,No
Intel Pentium G4400,//cdna.pcpartpicker.com/static/forever/images/product/c96e3edad99c0ec51123f5b9c2d4a811.256p.jpg,,Intel,BX80662G4400,Intel Pentium,Skylake,Skylake-S,LGA1151,2,3.3 GHz,,,,0.5 MB,3 MB,54 W,Intel HD Graphics 510,64 GB,Yes,Yes,Boxed,14 nm,Yes,No
AMD Ryzen 7 PRO 7745,//cdna.pcpartpicker.com/static/forever/images/product/0060e87b1c0093626f67e76793e68c41.256p.jpg,,AMD,100-000000599,AMD Ryzen 7 PRO,Zen 4,Raphael,AM5,8,3.8 GHz,5.3 GHz,,,8 MB,32 MB,65 W,Radeon,128 GB,Yes,No,OEM/Tray,5 nm,No,Yes
Intel Core i9-9960X,//cdna.pcpartpicker.com/static/forever/images/product/c30188135bf5f40e24fb3daa3fc225a1.256p.jpg,$998.95 ,Intel,CD8067304126500,Intel Core i9,Skylake,Skylake-X,LGA2066,16,3.1 GHz,4.4 GHz,,,16 MB,22 MB,165 W,None,128 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Core i7-3770S,https://m.media-amazon.com/images/I/41AdizKOFYL.jpg,,Intel,"BX80637I73770S, BX806237I73770S",Intel Core i7,Ivy Bridge,Ivy Bridge,LGA1155,4,3.1 GHz,,,,1 MB,8 MB,65 W,Intel HD Graphics 4000,,No,Yes,Boxed,22 nm,Yes,Yes: Hyper-Threading
AMD FX-9370,//cdna.pcpartpicker.com/static/forever/images/product/eb5b7bb7afe60da16bd99b1aeabfab09.256p.jpg,$198.50 ,AMD,FD9370FHHKWOF,AMD FX,Piledriver,Vishera,AM3+,8,4.4 GHz,4.7 GHz,,,8 MB,8 MB,220 W,None,,No,No,OEM/Tray,32 nm,No,No
Intel Core i7-4790S,https://m.media-amazon.com/images/I/51yvroZ9-GL.jpg,,Intel,BX80646I74790S,Intel Core i7,Haswell Refresh,Haswell Refresh,LGA1150,4,3.2 GHz,4 GHz,,,1 MB,8 MB,65 W,Intel HD Graphics 4000,,No,Yes,Boxed,22 nm,Yes,Yes: Hyper-Threading
Intel Core i5-9500T,//cdna.pcpartpicker.com/static/forever/images/product/f4137a480bf61e69b6d83e150a0afb01.256p.jpg,,Intel,CM8068403362510,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,6,2.2 GHz,3.7 GHz,,,1.5 MB,9 MB,35 W,Intel UHD Graphics 630,128 GB,No,No,OEM/Tray,14 nm,No,No
Intel Core i7-860,https://m.media-amazon.com/images/I/51Pf-Co5+iL.jpg,$361.21 ,Intel,BX80605I7860,Intel Core i7,Nehalem,Lynnfield,LGA1156,4,2.8 GHz,,,,1 MB,8 MB,95 W,None,,No,Yes,Boxed,45 nm,Yes,Yes: Hyper-Threading
AMD Athlon II X4 630,https://images-na.ssl-images-amazon.com/images/I/41tjrDq0v5L.jpg,,AMD,ADX630WFGIBOX,AMD Athlon II X4,K10,Propus,AM3,4,2.8 GHz,,,,2 MB,0 MB,95 W,None,,No,Yes,Boxed,45 nm,Yes,No
AMD Phenom II X4 905e,https://images-na.ssl-images-amazon.com/images/I/51p9gCVFukL.jpg,,AMD,HD905EOCGIBOX,AMD Phenom II X4,K10,Deneb,AM3,4,2.5 GHz,,,,2 MB,6 MB,65 W,None,,No,Yes,Boxed,45 nm,Yes,No
AMD Phenom II X4 910e,https://m.media-amazon.com/images/I/31kjZ5Hu7ML.jpg,,AMD,HD910EOCGMBOX,AMD Phenom II X4,K10,Deneb,AM3,4,2.6 GHz,,,,2 MB,6 MB,65 W,None,,No,Yes,Boxed,45 nm,Yes,No
Intel Celeron E1400,https://images-na.ssl-images-amazon.com/images/I/41o5aI8cHDL.jpg,,Intel,HH80557PG041D,Intel Celeron,Core,Conroe,LGA775,2,2 GHz,,,,0.5 MB,0 MB,65 W,None,,No,No,OEM/Tray,65 nm,No,No
Intel Core 2 Duo E4600,https://m.media-amazon.com/images/I/51-cY4ovqNL.jpg,,Intel,BX80557E4600,Intel Core 2 Duo,Core,Conroe,LGA775,2,2.4 GHz,,,,2 MB,0 MB,65 W,None,,No,Yes,Boxed,65 nm,Yes,No
Intel Core 2 Duo E6420,https://images-eu.ssl-images-amazon.com/images/I/41kLCrqis0L.jpg,$69.95 ,Intel,HH80557PH0464M,Intel Core 2 Duo,Core,Conroe,LGA775,2,2.13 GHz,,,,4 MB,0 MB,65 W,None,,No,No,OEM/Tray,65 nm,No,No
