title,price,rating,image,screen_size,screen_resolution,max_screen_resolution,processor,num_processors,ram,memory_type,graphics_coprocessor,chipset_brand,hard_drive,flash_memory_size,hard_drive_interface,wireless_type,num_usb_3_ports,operating_system,item_weight,product_dimensions,brand,series,model_number
"HP 15 inch Laptop, HD Display, 13th Generation Intel Core i5-1334U, 8 GB RAM, 512 GB SSD, Intel Iris Xe Graphics, Windows 11 Home, 15-fd0012nr (2024)",479.,4.1 out of 5 stars,https://m.media-amazon.com/images/I/41ZAHjqpU6L.jpg; https://m.media-amazon.com/images/I/41o113hxJTL.jpg; https://m.media-amazon.com/images/I/41Wiol3rnwL.jpg; https://m.media-amazon.com/images/I/51krJe7WpcL.jpg; https://m.media-amazon.com/images/I/41FnZrhYwYL.jpg; https://m.media-amazon.com/images/I/51NpZHq3QyL.jpg,15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,4.6 GHz core_i5,10,8 GB DDR4,DDR4 SDRAM,NVIDIA GeForce RTX 3050,Intel,512 GB SSD,,eSATA,"802.11a/b/g/n/ac, Bluetooth",1,Windows 11 Home,5.01 pounds,14.17 x 0.73 x 9.29 inches,HP,HP 15.6 inch Laptop PC,A18JKUA#ABA
"HP 2023 14-inch HD Laptop, Intel Celeron N4120, 4GB RAM, 64 GB Storage, Win11 Home in S Mode, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (Snowflake White), HP Stream 14",156.,4.3 out of 5 stars,https://m.media-amazon.com/images/I/41oB8dRKUhL.jpg; https://m.media-amazon.com/images/I/419mmIKl5XL.jpg; https://m.media-amazon.com/images/I/41R4tutHsfL.jpg; https://m.media-amazon.com/images/I/419LSuH5lZL.jpg; https://m.media-amazon.com/images/I/416OnLzeBuL.jpg; https://m.media-amazon.com/images/I/21vRxYN+S0L.jpg; https://m.media-amazon.com/images/I/21ylVPjV7oL.jpg,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,1.1 GHz celeron_n,4,4 DDR4,DDR4 SDRAM,Intel UHD Graphics,Intel,64 GB Emmc,4 GB,Solid State,802.11bgn,,Windows 11 S,3.35 pounds,12.76 x 8.86 x 0.71 inches,HP,HP Stream,HP Stream 14
"HP Elitebook 650 G10 15 15.6"" FHD Business Laptop Computer, 13th Gen Intel 10-Core i7-1355U, 32GB DDR4 RAM, 1TB PCIe SSD, WiFi 6E, BT5.3, Backlit Keyboard, Fingerprint Reader, Windows 11 Pro, AZ-XUT",899.,4.2 out of 5 stars,https://m.media-amazon.com/images/I/51gESM7VM5L.jpg; https://m.media-amazon.com/images/I/41rJjylyIXL.jpg; https://m.media-amazon.com/images/I/41yWtHR6XCL.jpg; https://m.media-amazon.com/images/I/21k3QvkuIRL.jpg; https://m.media-amazon.com/images/I/3122et46AsL.jpg; https://m.media-amazon.com/images/I/31+GNylyO5L.jpg,15.6 Inches,1920x1080,1920x1080,1.7 GHz core_i7,10,32 GB DDR4,DDR4 SDRAM,Intel Iris Xe Graphics,Intel,1 TB SSD,,PCIE x 4,802.11ax,2,Windows 11 Pro,3.94 pounds,9.2 x 14.14 x 0.78 inches,HP,Elitebook,650 G10
"HP 255 G10 15.6"" FHD Business Laptop, AMD Ryzen 7 7730U, 32GB RAM, 1TB PCIe SSD, Numeric Keypad, Webcam, Wi-Fi 6, HDMI, Windows 11 Pro, Black",549.,3.8 out of 5 stars,https://m.media-amazon.com/images/I/41SqvJK8nIL.jpg; https://m.media-amazon.com/images/I/41qUtCor44L.jpg; https://m.media-amazon.com/images/I/41nrVwc85BL.jpg; https://m.media-amazon.com/images/I/41ww1ssZoEL.jpg; https://m.media-amazon.com/images/I/41hFzYnYqfL.jpg; https://m.media-amazon.com/images/I/41JuaK9SUoL.jpg,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.5 GHz ryzen_7,8,32 GB DDR4,DDR4 SDRAM,AMD Radeon Graphics,AMD,1 TB SSD,,PCIE x 4,802.11ax,3,Windows 11 Pro,3.35 pounds,14.17 x 9.29 x 0.73 inches,HP,TPN-Q287,TPN-Q287
"HP 255 G10 Laptop for Home or Work, 16GB RAM, 1TB SSD, 15.6"" Full HD, Ryzen 3 7330U (Beat Intel i5-1135G7), HDMI, USB-C, Windows 11 Pro, Business and Fun Ready",359.,4.2 out of 5 stars,https://m.media-amazon.com/images/I/41K16s4W2eL.jpg; https://m.media-amazon.com/images/I/412PS3zw9sL.jpg; https://m.media-amazon.com/images/I/51CREDcvY9L.jpg; https://m.media-amazon.com/images/I/513XQ4QFQaL.jpg; https://m.media-amazon.com/images/I/51pmbymVuJL.jpg; https://m.media-amazon.com/images/I/41nOlfPortL.jpg; https://m.media-amazon.com/images/I/515I0qCPllL.jpg,15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,4.5 GHz ryzen_3,4,16 GB DDR4,DDR4 SDRAM,AMD,,1 TB SSD,,PCIE x 4,802.11ax,,Windows 11 Pro,60 pounds,15.78 x 10.15 x 0.78 inches,Hp,G10,255
"HP 2023 15'' HD IPS Laptop, Windows 11, Intel Pentium 4-Core Processor Up to 2.70GHz, 8GB RAM, 128GB SSD, HDMI, Super-Fast 6th Gen WiFi, Dale Red (Renewed)",189.,4.2 out of 5 stars,https://m.media-amazon.com/images/I/41sFHguNNBL.jpg; https://m.media-amazon.com/images/I/414d+Bof7TL.jpg; https://m.media-amazon.com/images/I/41Km9lOpr+L.jpg; https://m.media-amazon.com/images/I/41sFHguNNBL.jpg,15 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.7 GHz pentium,4,8 GB DDR4,DDR4 SDRAM,Intel,Intel,128 GB SSD,,Solid State,Bluetooth,3,Windows 11,0.635 ounces,14.11 x 9.53 x 0.71 inches,HP,"HP 15"" Laptop","HP 15"" Laptop"
"HP Windows 11 Pro 15 15.6"" FHD Business Laptop Computer,11th Gen Intel Core i5-1135G7, 16GB RAM 512GB SSD, Intel Iris Xe Graphic, Numeric Pad, Long Battery Life, Wi-Fi 5, Bluetooth 4.2, USB, w/Battery",404.,3.6 out of 5 stars,https://m.media-amazon.com/images/I/51WPew5yWmL.jpg; https://m.media-amazon.com/images/I/41FIKW3Q+LL.jpg; https://m.media-amazon.com/images/I/51Wmd+7OKdL.jpg; https://m.media-amazon.com/images/I/51wEwNY3apL.jpg; https://m.media-amazon.com/images/I/41kTQLs2qqL.jpg; https://m.media-amazon.com/images/I/415g7F1AAeL.jpg; https://m.media-amazon.com/images/I/41ou1q0RxXL.jpg,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.2 GHz core_i5,4,16 GB DDR4,DDR4 SDRAM,Intel Iris Xe Graphic,Intel,512 GB SSD,,Solid State,"802.11a/b/g/n/ac, Bluetooth",,Windows 11 Pro,3.75 pounds,14.11 x 9.53 x 0.71 inches,HP,HP Laptop,HP Laptop
"HP Victus 15.6 i5 Gaming Laptop, 15.6"" FHD 1920*1080 144Hz, Intel Core i5-12450H, NVIDIA GeForce RTX 3050, 32GB RAM, 1TB SSD, Backlit KB, Touchpad, SD Card Reader, Webcam, HDMI, Wi-Fi 6, W11 H, Blue",599.,4.4 out of 5 stars,https://m.media-amazon.com/images/I/41tuj-uStAL.jpg; https://m.media-amazon.com/images/I/51Idd6Mls0L.jpg; https://m.media-amazon.com/images/I/51PQs+226aL.jpg; https://m.media-amazon.com/images/I/413T7EYNk1L.jpg; https://m.media-amazon.com/images/I/41OBt5q62oL.jpg; https://m.media-amazon.com/images/I/51gc-zd7gOL.jpg,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.4 GHz core_i5_family,8,32 GB DDR4,DDR4 SDRAM,NVIDIA GeForce RTX 3050,NVIDIA,1 TB SSD,32 GB,PCIE x 4,802.11ax,3,Windows 11 Home,5.06 pounds,14.09 x 10.04 x 0.93 inches,HP,TPN-Q278_599J4AV,TPN-Q278_599J4AV
"HP 15-dy5073dx 15.6"" Full HD Touchscreen Laptop, Intel Core i7-1255U 1.7GHz, 16GB RAM, 512GB SSD, Windows 11 Home S Mode, Natural Silver",638.,5.0 out of 5 stars,https://m.media-amazon.com/images/I/418lbcTwaoL.jpg; https://m.media-amazon.com/images/I/31RKdHfEzNL.jpg; https://m.media-amazon.com/images/I/41wmKK3nZsL.jpg; https://m.media-amazon.com/images/I/41094UJV9FL.jpg; https://m.media-amazon.com/images/I/41wmKK3nZsL.jpg; https://m.media-amazon.com/images/I/41094UJV9FL.jpg,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1.7 GHz core_i7,10,16 GB DDR4,DDR4 SDRAM,Intel Iris Xe Graphics,Intel,512 GB SSD,16 GB,Solid State,802.11ax,,Windows 11 Home,5.99 pounds,14.11 x 9.53 x 0.71 inches,HP,HP,HP
"HP Flagship 14"" HD Laptop with 1 Year Office 365 | 16GB RAM | 1.22TB Storage(64GB EMMC & 160GB Docking Station Set & 1TB Cloud Storage) | Intel 4-Core Processor | Webcam | Win 11s | White",339.,4.0 out of 5 stars,https://m.media-amazon.com/images/I/41DxAjvSCKL.jpg; https://m.media-amazon.com/images/I/51UXVi+sM5L.jpg; https://m.media-amazon.com/images/I/51LNsKtfylL.jpg; https://m.media-amazon.com/images/I/41XXQ2tF5EL.jpg; https://m.media-amazon.com/images/I/518kYt979RL.jpg; https://m.media-amazon.com/images/I/51xcKh88cqL.jpg; https://m.media-amazon.com/images/I/51MaNSpGuYL.jpg,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,1.1 GHz celeron_n,4,16 GB DDR4,DDR4 SDRAM,Intel UHD Graphics,,64 GB Emmc,16 GB,Solid State,802.11a/g/n/ac,,Windows 11 S,3.24 pounds,12.76 x 8.86 x 0.71 inches,HP,HP Stream,HP Stream
"HP 15.6-inch Touch-Screen Laptop, 11th Generation Intel Core i7-1165G7, Intel Iris Xe Graphics, 16 GB RAM, 512 GB SSD, Windows 11 Home (Natural Silver)",604.,4.3 out of 5 stars,https://m.media-amazon.com/images/I/417kS8XXpZL.jpg; https://m.media-amazon.com/images/I/41Rhxef6pgL.jpg; https://m.media-amazon.com/images/I/41jRwBrptjL.jpg; https://m.media-amazon.com/images/I/31cmOomXBGL.jpg; https://m.media-amazon.com/images/I/11n73fqM-5S.jpg; https://m.media-amazon.com/images/I/21LEd5S9QBS.jpg,15.6 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.8 GHz core_i7,4,16 GB DDR4,DDR4 SDRAM,Intel Iris Xe Graphics,Intel,512 GB SSD,512 GB,Solid State,802.11ax,1,Windows 11 Home,5.25 pounds,14.11 x 9.53 x 0.71 inches,HP,HP,3Y058UA-0
"HP 15.6"" FHD Business & Student Laptop Computer, 32GB RAM 1TB SSD, 10-Core Intel Core i5, Windows 11 Pro Laptop with Microsoft Office Home & Business Included, PLUSERA Earphones, Silver","1,339.",4.3 out of 5 stars,https://m.media-amazon.com/images/I/410kBxvFJGL.jpg; https://m.media-amazon.com/images/I/41CK6ZW0K-L.jpg; https://m.media-amazon.com/images/I/41F3NwpuInL.jpg; https://m.media-amazon.com/images/I/41IXp4l31lL.jpg; https://m.media-amazon.com/images/I/41MG-ASt4KL.jpg; https://m.media-amazon.com/images/I/11uT3fEbFEL.jpg; https://m.media-amazon.com/images/I/21LqRluF27L.jpg,15.6,1920 x 1080 pixels,,4.4 apple_ci5,10,32 GB DDR4,DDR4 SDRAM,,Intel,SSD,,,802.11ax,3,Windows 11 Pro,6 pounds,14.14 x 9.31 x 0.78 inches,HP,HP 15,HP 15
"HP Victus 16.1 Ryzen 7 RTX 4070 Premium Gaming Laptop, 16.1"" FHD 144Hz, AMD Ryzen 7 8845HS (Beats i7-1355U), NVIDIA GeForce RTX 4070, 64GB DDR5 RAM, 2TB SSD, HDMI, Wi-Fi 6, Windows 11 Pro","1,295.",4.1 out of 5 stars,https://m.media-amazon.com/images/I/41gtVMu4P9L.jpg; https://m.media-amazon.com/images/I/51pnSiBHWTL.jpg; https://m.media-amazon.com/images/I/51BtrV8SpGL.jpg; https://m.media-amazon.com/images/I/51un+UXyHJL.jpg; https://m.media-amazon.com/images/I/411diJoRB0L.jpg,16.1 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,5 GHz amd_ryzen_7,8,64 GB DDR5,DDR5 RAM,NVIDIA GeForce RTX 4070,NVIDIA,2 TB SSD,,PCIE x 4,802.11ax,4,Windows 11 Pro,5.11 pounds,14.5 x 10.21 x 0.94 inches,HP,TPN-C152,TPN-C152
"HP 15.6 HD Premium Chromebook, Intel Celeron N Processor 3.7GHz Turbo Speed, 8GB Ram, 64GB SSD, Ultra-Fast WiFi Up to 1700 Mbps, Chrome OS, Arctic Sliver",225.,4.4 out of 5 stars,https://m.media-amazon.com/images/I/41zKh9g5YEL.jpg; https://m.media-amazon.com/images/I/41+SSmDgClL.jpg; https://m.media-amazon.com/images/I/41QRbK3fniL.jpg; https://m.media-amazon.com/images/I/21VgEOKHfwL.jpg,15.6 Inches,1366 x 768 pixels,1366 x 768 Pixels,3.7 GHz celeron_n,2,8 GB DDR4,DDR4 SDRAM,Intel,Intel,64 GB SSD,,Solid State,802.11ac,2,Chrome OS,5.04 pounds,14.82 x 9.6 x 0.7 inches,HP,15a-na2,15a-na2
"HP Victus 15.6 i5 Gaming Laptop, 15.6"" FHD 1920*1080 144Hz, Intel Core i5-12450H, NVIDIA GeForce RTX 3050, 16GB RAM, 1TB SSD, Backlit KB, Touchpad, SD Card Reader, Webcam, HDMI, Wi-Fi 6, W11 H, Blue",615.,4.4 out of 5 stars,https://m.media-amazon.com/images/I/41tuj-uStAL.jpg; https://m.media-amazon.com/images/I/51Idd6Mls0L.jpg; https://m.media-amazon.com/images/I/51PQs+226aL.jpg; https://m.media-amazon.com/images/I/413T7EYNk1L.jpg; https://m.media-amazon.com/images/I/41OBt5q62oL.jpg; https://m.media-amazon.com/images/I/51gc-zd7gOL.jpg,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.4 GHz core_i5_family,8,16 GB DDR4,DDR4 SDRAM,NVIDIA GeForce RTX 3050,NVIDIA,1 TB SSD,,PCIE x 4,802.11ax,3,Windows 11 Home,5.06 pounds,14.09 x 10.04 x 0.93 inches,HP,TPN-Q278_599J4AV,TPN-Q278_599J4AV
"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver",354.,4.2 out of 5 stars,https://m.media-amazon.com/images/I/419gcIem5OL.jpg,17.3 Inches,1600 x 900 pixels,1600 x 900 Pixels,2 GHz core_i3_family,4,32 GB DDR4,DDR4 SDRAM,Intel UHD Graphics,Intel,1 TB SSD,,PCIE x 4,Bluetooth,1,Windows 11 Home,4.6 pounds,15.78 x 10.15 x 0.78 inches,HP,TPN-I139_320M3AV,TPN-I139_320M3AV
"HP 17 inch Laptop, HD+ Display, 12th Generation Intel Core i5-1235U, 8 GB RAM, 512 GB SSD, Intel Iris Xe Graphics, Windows 11 Home, 17-cn2099nr (2023),Silver",359.,4.4 out of 5 stars,https://m.media-amazon.com/images/I/41lBkBx6b4L.jpg; https://m.media-amazon.com/images/I/41-99Rls5WL.jpg; https://m.media-amazon.com/images/I/51cg4j4g3OL.jpg; https://m.media-amazon.com/images/I/512NqhLJyXL.jpg; https://m.media-amazon.com/images/I/41MKm-nFSoL.jpg; https://m.media-amazon.com/images/I/31KFyd7RNgL.jpg,17.3 Inches,1600 x 900 pixels,1600x900 Pixels,4.4 GHz core_i5,10,8 GB DDR4,DDR4 SDRAM,Intel Iris,Intel,512 GB SSD,,eSATA,802.11a/b/g/n/ac,2,Windows 11 Home,6.4 pounds,15.78 x 0.78 x 10.15 inches,HP,Laptop,17-cn2099nr
"HP 2023 17 Laptop, 17.3"" HD+ Touchscreen Display, AMD Ryzen 5 7530U Processor (Beats i7-1165G7), 32GB RAM, 1TB SSD, Wi-Fi 6, HDMI, Backlit KB, Webcam, Windows 11 Home, Silver, KKE Accessories",489.,4.0 out of 5 stars,https://m.media-amazon.com/images/I/414zDiBzp3L.jpg; https://m.media-amazon.com/images/I/21vfasbOt7L.jpg; https://m.media-amazon.com/images/I/41iYv5bKRLL.jpg; https://m.media-amazon.com/images/I/41mNO6I+YVL.jpg; https://m.media-amazon.com/images/I/31nv4tWRCQL.jpg,17.3 Inches,1600 x 900 pixels,1600 x 900 Pixels,2 GHz ryzen_5,6,32 GB DDR4,DDR4 SDRAM,AMD Radeon Graphics,AMD,1 TB SSD,,PCIE x 4,Bluetooth,1,Windows 11 Home,5.5 pounds,15.78 x 10.15 x 0.78 inches,HP,TPN-I140_799**AV,TPN-I140_799**AV
"HP 15.6"" Touchscreen Laptop, Intel Core i5 Processor, 16GB RAM, 1TB SSD,Numeric Keypad, Bluetooth, Wi-Fi, Long Battery Life, Windows 11 Home, Alpacatec Accessories, Silver",329.,4.4 out of 5 stars,https://m.media-amazon.com/images/I/41rxW9CGZSL.jpg; https://m.media-amazon.com/images/I/51uulFBNPdL.jpg; https://m.media-amazon.com/images/I/51tTUnlr9qL.jpg; https://m.media-amazon.com/images/I/51NAQQXLYeL.jpg; https://m.media-amazon.com/images/I/41F9nntEKsL.jpg; https://m.media-amazon.com/images/I/4129SyQo6uL.jpg; https://m.media-amazon.com/images/I/41Wys3yN9PL.jpg,15.6 Inches,1366 x 768 pixels,1366 x 768 Pixels,4.4 GHz apple_ci5,10,,DDR4 SDRAM,Intel Iris Xe Graphics,Intel,1 TB SSD,,Solid State,802.11ax,,Windows 11 Home,5.06 pounds,14.17 x 9.29 x 0.73 inches,HP,HP,HP
